Age,Count,RunningCount,WorldUncerainty,Min,Max
0,0,28,0,28,28
5,0,31,0.11,25,31
10,0,32,0.21,22,34
15,0,32,0.26,21,35
20,0,32,0.3,20,36
25,0,35,0.33,19,37
30,0,36,0.36,18,38
35,0,36,0.39,17,39
40,1,36,0.42,16,40
45,0,38,0.45,15,41
50,0,40,0.48,15,41
55,0,40,0.5,14,42
60,1,40,0.53,13,43
65,1,40,0.55,13,43
70,1,39,0.58,12,44
75,0,38,0.59,11,45
80,3,39,0.6,11,45
85,2,36,0.61,11,45
90,5,34,0.62,11,45
95,1,29,0.63,10,46
100,5,29,0.63,10,46
105,0,25,0.64,10,46
110,1,25,0.65,10,46
115,2,25,0.69,9,47
120,5,23,0.74,7,49
125,3,18,0.79,6,50
130,1,15,0.84,4,52
135,0,14,0.85,4,52
140,0,14,0.85,4,52
145,3,14,0.85,4,52
150,1,11,0.86,4,52
155,0,11,0.86,4,52
160,0,12,0.86,4,52
165,3,12,0.86,4,52
170,2,9,0.87,4,52
175,0,8,0.88,3,53
180,0,10,0.9,3,53
185,1,10,0.92,2,54
190,0,9,0.94,2,54
195,0,9,0.97,1,55
200,1,9,0.99,0,56
205,0,8,1,0,56
210,0,8,1,0,56
215,0,9,1,0,56
220,1,10,1,0,56
225,1,9,1,0,56
230,0,9,1,0,56
235,1,9,1,0,56
240,0,8,1,0,56
245,0,8,1,0,56
250,0,8,1,0,56
255,0,8,1,0,56
260,0,8,1,0,56
265,0,8,1,0,56
270,0,8,1,0,56
275,1,8,1,0,56
280,1,7,1,0,56
285,0,6,1,0,56
290,0,6,1,0,56
295,1,6,1,0,56
300,2,5,1,0,56
305,0,3,1,0,56
310,0,4,1,0,56
315,0,4,1,0,56
320,0,4,1,0,56
325,0,5,1,0,56
330,0,5,1,0,56
335,1,5,1,0,56
340,1,4,1,0,56
345,0,5,1,0,56
350,1,5,1,0,56
355,0,4,1,0,56
360,0,5,1,0,56
365,0,5,1,0,56
370,0,6,1,0,56
375,0,7,1,0,56
380,0,8,1,0,56
385,0,8,1,0,56
390,0,8,1,0,56
395,0,8,1,0,56
400,0,8,1,0,56
405,0,10,1,0,56
410,0,10,1,0,56
415,0,10,1,0,56
420,0,10,1,0,56
425,0,10,1,0,56
430,1,10,1,0,56
435,0,9,1,0,56
440,0,9,1,0,56
445,1,11,1,0,56
450,0,10,1,0,56
455,0,11,1,0,56
460,0,11,1,0,56
465,2,11,1,0,56
470,0,9,1,0,56
475,0,10,1,0,56
480,1,11,1,0,56
485,0,10,1,0,56
490,1,10,1,0,56
495,1,9,1,0,56
500,1,8,1,0,56
505,0,7,1,0,56
510,0,7,1,0,56
515,0,7,1,0,56
520,0,7,1,0,56
525,2,7,1,0,56
530,0,5,1,0,56
535,0,5,1,0,56
540,0,5,1,0,56
545,0,5,1,0,56
550,0,6,1,0,56
555,0,6,1,0,56
560,0,6,1,0,56
565,2,6,1,0,56
570,0,4,1,0,56
575,1,4,1,0,56
580,0,3,1,0,56
585,0,3,1,0,56
590,0,3,1,0,56
595,1,3,1,0,56
600,1,2,1,0,56
605,0,1,1,0,56
610,0,1,1,0,56
615,0,1,1,0,56
620,0,1,1,0,56
625,0,1,1,0,56
630,0,1,1,0,56
635,0,1,1,0,56
640,0,1,1,0,56
645,0,1,1,0,56
650,0,1,1,0,56
655,0,1,1,0,56
660,0,1,1,0,56
665,0,1,1,0,56
670,1,1,1,0,56
675,0,0,1,0,56
680,0,4,1,0,56
685,0,4,1,0,56
690,0,4,1,0,56
695,0,4,1,0,56
700,0,4,1,0,56
705,0,4,1,0,56
710,0,4,1,0,56
715,0,4,1,0,56
720,0,4,1,0,56
725,0,4,1,0,56
730,0,5,1,0,56
735,0,5,1,0,56
740,0,5,1,0,56
745,0,5,1,0,56
750,0,5,1,0,56
755,0,5,1,0,56
760,0,5,1,0,56
765,0,5,1,0,56
770,0,5,1,0,56
775,0,5,1,0,56
780,0,5,1,0,56
785,0,5,1,0,56
790,0,5,1,0,56
795,0,5,1,0,56
800,4,5,1,0,56
805,0,1,1,0,56
810,0,1,1,0,56
815,0,1,1,0,56
820,0,1,1,0,56
825,0,1,1,0,56
830,0,1,1,0,56
835,0,1,1,0,56
840,0,1,1,0,56
845,0,1,1,0,56
850,1,1,1,0,56
855,0,0,1,0,56
860,0,0,1,0,56
865,0,0,1,0,56
870,0,0,1,0,56
875,0,0,1,0,56
880,0,1,1,0,56
885,0,1,1,0,56
890,0,1,1,0,56
895,0,1,1,0,56
900,0,1,1,0,56
905,0,1,1,0,56
910,0,1,1,0,56
915,0,1,1,0,56
920,0,1,1,0,56
925,0,1,1,0,56
930,0,1,1,0,56
935,0,1,1,0,56
940,0,1,1,0,56
945,0,1,1,0,56
950,0,1,1,0,56
955,0,1,1,0,56
960,0,1,1,0,56
965,0,1,1,0,56
970,0,1,1,0,56
975,0,1,1,0,56
980,0,1,1,0,56
985,0,1,1,0,56
990,0,1,1,0,56
995,0,1,1,0,56
1000,1,1,1,0,56
