>anchorPlateId 0
>reconstructionTime 0
>Ontong.gpml Hess.gpml broken_ridge.gpml centralKerguelen.gpml northKerguelen.gpml Manihiki.gpml Africa.gpml Shatsky.gpml elan.gpml madagascar.gpml southernKerguelen.gpml conrad.gpml Agrentine.gpml iceland.gpml Hikurangi2.gpml delCano.gpml Hikurangi.gpml antarctic.gpml MendelevRidge2.gpml MendelevRidge.gpml chagon.gpml
>
>LargeIgneousProvince <identity>GPlates-03784832-655b-4c37-b5f8-8ca184dd634d</identity> <revision>GPlates-482d617f-74de-4f72-8afa-482d43c092f5</revision>
> name 
> description 4000 METERS     ASTRID RIDGE (H. BERGH, 1987)
> shapefileAttributes KeyValueDictionary ( PLATEID1,  802) ( TYPE,  VP) ( FROMAGE,  155) ( TOAGE,  0) ( NAME,  ) ( DESCR,  4000 METERS     ASTRID RIDGE (H. BERGH, 1987)) ( GPGIM_TYPE,  gpml:LargeIgneousProvince) ( FEATURE_ID,  GPlates-68a41c33-9ec2-4197-9c9f-8a650eb2d2a2) ( REF,  Coffin, 2011 (PLATES project)) ( PLATEID2,  0) ( RECON_METH,  ) ( L_PLATE,  0) ( R_PLATE,  0) ( SPREAD_ASY,  0) ( IMPORT_AGE,  0)
> validTime TimePeriod <begin> TimeInstant <timePosition>155</timePosition></begin> <end> TimeInstant <timePosition>0</timePosition></end>
> reconstructionPlateId 802
> geometryImportTime TimeInstant <timePosition>0</timePosition>
> conjugatePlateId 0
> leftPlate 0
> rightPlate 0
> spreadingAsymmetry 0
  14.960001      -64.869999
  15.020002      -64.910000
  15.100000      -64.949999
  15.150000      -64.990000
  15.200003      -65.010000
  15.300001      -65.029999
  15.430002      -65.029999
  15.629999      -65.039999
  15.820002      -65.080000
  15.930002      -65.109999
  16.040003      -65.180000
  16.140001      -65.209999
  16.250002      -65.250000
  16.360003      -65.270000
  16.469999      -65.289999
  16.540003      -65.309999
  16.580000      -65.340000
  16.590002      -65.379999
  16.559999      -65.400000
  16.430002      -65.430000
  16.350000      -65.449999
  16.280001      -65.459999
  16.240000      -65.480000
  16.230001      -65.490000
  16.260000      -65.520000
  16.330000      -65.539999
  16.400000      -65.559999
  16.530001      -65.590000
  16.629999      -65.619999
  16.730001      -65.650000
  16.790003      -65.689999
  16.800001      -65.730000
  16.809999      -65.770000
  16.820002      -65.830000
  16.809999      -65.879999
  16.790003      -65.930000
  16.770002      -65.980000
  16.750002      -66.029999
  16.730001      -66.090000
  16.710001      -66.139999
  16.690001      -66.209999
  16.670000      -66.260000
  16.640001      -66.289999
  16.590002      -66.309999
  16.520002      -66.309999
  16.450003      -66.299999
