93 7  126 RIO GRANDE RISE, SOUTH ATLANTIC OCEAN                                 
 201   90.0 -999.0 BA4000 202   2   584
 -29.0746  -40.0231 3
 -29.0766  -40.0139 2
 -29.0967  -39.9545 2
 -29.1047  -39.9133 2
 -29.1147  -39.8744 2
 -29.1348  -39.8081 2
 -29.1469  -39.7555 2
 -29.1710  -39.7052 2
 -29.2271  -39.5977 2
 -29.2833  -39.5634 2
 -29.3314  -39.5405 2
 -29.4156  -39.4856 2
 -29.4776  -39.4536 2
 -29.5436  -39.4353 2
 -29.6216  -39.4262 2
 -29.7095  -39.4124 2
 -29.7933  -39.3964 2
 -29.9029  -39.3896 2
 -29.9687  -39.3850 2
 -30.0841  -39.3736 2
 -30.1835  -39.3896 2
 -30.3126  -39.4285 2
 -30.4117  -39.4559 2
 -30.5068  -39.4994 2
 -30.6177  -39.5405 2
 -30.7047  -39.5886 2
 -30.7600  -39.6366 2
 -30.7975  -39.7098 2
 -30.8389  -39.7875 2
 -30.8883  -39.8653 2
 -30.9100  -39.9225 2
 -30.9277  -39.9933 2
 -30.9238  -40.0597 2
 -30.9218  -40.1397 2
 -30.8883  -40.2220 2
 -30.8607  -40.2907 2
 -30.8172  -40.3753 2
 -30.7778  -40.4599 2
 -30.7106  -40.5148 2
 -30.6473  -40.5582 2
 -30.5741  -40.5834 2
 -30.4890  -40.6154 2
 -30.3800  -40.6360 2
 -30.2669  -40.6657 2
 -30.1795  -40.6703 2
 -30.0662  -40.6772 2
 -29.9985  -40.6657 2
 -29.8750  -40.6680 2
 -29.7753  -40.6977 2
 -29.6855  -40.6497 2
 -29.5816  -40.6108 2
 -29.5056  -40.5582 2
 -29.4176  -40.5079 2
 -29.3354  -40.4599 2
 -29.2572  -40.4096 2
 -29.2111  -40.3776 2
 -29.1368  -40.3295 2
 -29.0987  -40.2792 2
 -29.0665  -40.2541 2
 -29.0565  -40.1717 2
 -29.0424  -40.1260 2
 -29.0444  -40.0688 2
 -29.0625  -40.0071 2
 -30.0642  -38.6600 3
 -30.0264  -38.5846 2
 -29.9727  -38.5182 2
 -29.8950  -38.4176 2
 -29.8172  -38.2895 2
 -29.7753  -38.1752 2
 -29.7135  -38.0540 2
 -29.6675  -37.9099 2
 -29.6156  -37.7978 2
 -29.5556  -37.6835 2
 -29.4856  -37.5394 2
 -29.4456  -37.4342 2
 -29.4075  -37.3153 2
 -29.3795  -37.1712 2
 -29.3454  -36.9745 2
 -29.2933  -36.8030 2
 -29.2873  -36.6863 2
 -29.2873  -36.5491 2
 -29.2873  -36.3593 2
 -29.2873  -36.2495 2
 -29.2793  -36.0711 2
 -29.2673  -35.8790 2
 -29.2612  -35.8173 2
 -29.2472  -35.7418 2
 -29.2312  -35.6069 2
 -29.2271  -35.4994 2
 -29.2171  -35.3439 2
 -29.1991  -35.1861 2
 -29.1930  -35.1266 2
 -29.1870  -35.1060 2
 -29.1409  -35.0077 2
 -29.0525  -34.9139 2
 -29.0123  -34.8545 2
 -28.9439  -34.7378 2
 -28.9016  -34.6075 2
 -28.8614  -34.4794 2
 -28.8332  -34.3124 2
 -28.8030  -34.1341 2
 -28.7586  -33.9717 2
 -28.7083  -33.8230 2
 -28.6619  -33.7041 2
 -28.6276  -33.5943 2
 -28.6175  -33.5051 2
 -28.5933  -33.3656 2
 -28.5892  -33.1781 2
 -28.5549  -32.9997 2
 -28.5610  -32.9563 2
 -28.5246  -32.7756 2
 -28.4923  -32.6178 2
 -28.4680  -32.4851 2
 -28.4256  -32.3502 2
 -28.4013  -32.2404 2
 -28.4013  -32.1924 2
 -28.3669  -32.0826 2
 -28.3447  -32.0392 2
 -28.3062  -31.9797 2
 -28.2698  -31.9134 2
 -28.2293  -31.8471 2
 -28.2030  -31.8036 2
 -28.1584  -31.7579 2
 -28.1158  -31.7259 2
 -28.1219  -31.5543 2
 -28.1300  -31.4606 2
 -28.0975  -31.3211 2
 -28.0813  -31.2364 2
 -28.0610  -31.0580 2
