399 1    2 Conjugate to Shatsky Rise on Farallon Plate, MS 06/07       
 902  150.0   83.0 VO   1 901   2    96                                        
  49.2797   -8.5593 3
  48.4503   -8.6640 2
  47.4772   -8.5830 2
  47.1877   -8.3276 2
  46.8319   -8.3848 2
  46.5065   -8.1686 2
  45.9248   -8.7691 2
  45.6504   -8.6548 2
  45.4346   -8.3257 2
  45.5666   -7.4886 2
  45.8421   -6.7309 2
  46.2327   -6.3139 2
  46.6633   -6.0833 2
  47.1671   -5.3573 2
  47.0766   -4.9749 2
  46.9589   -4.5440 2
  47.0687   -4.3363 2
  46.8746   -4.0764 2
  46.7554   -3.6504 2
  46.6961   -3.2368 2
  46.6962   -2.8344 2
  46.9359   -2.4687 2
  47.2003   -2.1492 2
  47.4680   -1.7379 2
  47.1801   -1.5221 2
  47.2713   -1.0007 2
  47.3919   -0.4391 2
  47.0111   -0.8363 2
  46.6861   -1.2359 2
  46.6244   -1.7130 2
  46.8403   -2.0983 2
  46.6082   -2.3755 2
  46.1065   -2.1669 2
  45.7520   -2.0245 2
  45.4310   -1.8434 2
  45.3643   -1.5286 2
  45.5165   -1.1172 2
  45.2690   -0.7787 2
  45.0028   -0.6973 2
  44.9267   -0.0870 2
  45.0111    0.7107 2
  45.5890    1.4069 2
  45.8905    2.0978 2
  46.1579    2.8366 2
  46.1471    3.3019 2
  46.5719    3.8631 2
  46.6967    4.1931 2
  46.6437    4.3642 2
  46.5078    4.6646 2
  46.6942    5.3248 2
  46.8138    5.6542 2
  47.0739    6.0224 2
  47.4432    6.3092 2
  47.9778    6.3490 2
  48.2869    6.1386 2
  48.6524    6.0988 2
  48.9626    5.8025 2
  49.2740    5.3311 2
  49.3876    5.0713 2
  49.2747    4.8965 2
  49.1322    4.5045 2
  49.0451    4.2000 2
  49.2709    3.8469 2
  49.4120    3.6248 2
  49.4952    3.3141 2
  49.4622    2.9157 2
  49.4869    2.6038 2
  49.6264    2.2869 2
  49.7955    2.0122 2
  49.8157    1.5157 2
  49.8905    0.9233 2
  49.7929    0.5194 2
  49.9000    0.1480 2
  50.2183   -0.0097 2
  50.1744   -0.5138 2
  50.0509   -0.6893 2
  49.9481   -1.0965 2
  49.9620   -1.5142 2
  50.1488   -2.0436 2
  50.1923   -2.4221 2
  50.3091   -3.1401 2
  50.4054   -3.6247 2
  50.4832   -3.8719 2
  50.7408   -4.1427 2
  50.8734   -4.4955 2
  50.7100   -4.7145 2
  50.7040   -5.3400 2
  50.9887   -5.6729 2
  51.0978   -5.8841 2
  50.9795   -6.3051 2
  50.7713   -6.6616 2
  50.5935   -7.4124 2
  50.4898   -8.3247 2
  50.2728   -8.6734 2
  49.9306   -8.9929 2
  49.2797   -8.5593 2
  99.0000   99.0000 3
